"","Local Authority Code","Petrol2024Q4","Diesel2024Q4","Hybrid2024Q4","BEV2024Q4","PHEV2024Q4","TotalCars","Petrol","Diesel","Hybrid","BEV","PHEV","Local Authority","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles","PetrolMile","DieselMile","HybridMile","BEVMile","PHEVMile","PetrolCO2e","DieselCO2e","HybridCO2e","BEVCO2e","PHEVCO2e","BaseCO2e","pCarBaseCO2e","pCarAnnMile","pBEVAnnCO2e","pHyVAnnCO2e","reduceCO2pBEVcc","reduceCO2pHyVc"
"82","E08000032",113700,85100,18400,4341,2982,224523,0.506406915995243,0.379025756826695,0.0819515149895556,0.0193343220961772,0.0132814900923291,"Bradford",1827.75,1135.71,1221400000,1508100000,618525407.19659,462942059.388125,100095580.408243,23614941.0082709,16222011.9987707,163742231.047153,126540582.51315,20307391.3532244,1803000.74598148,2821332.32682621,315214537.986335,1403.92983340832,5439.97719610018,415.342258922249,1103.6625735448,988.587574486068,300.267259863513
"83","E08000033",54500,32500,5500,1932,1380,95812,0.568822276959045,0.339205944975577,0.0574040829958669,0.0201644887905482,0.014403206278963,"Calderdale",1152.89,716.37,731900000,971600000,416321024.506325,248264831.127625,42014048.344675,14758389.3458022,10541706.675573,110212664.817559,67860708.940425,8523810.12816766,1126803.026552,1833413.62501566,189557400.53772,1978.43068235419,7638.91788085,583.231380202897,1549.78365966685,1395.19930215129,428.647022687343
"84","E08000034",112300,70600,13000,4072,2731,202703,0.554012520781636,0.34829282250386,0.0641332392712491,0.0200885038701943,0.0134729135730601,"Kirklees",1927.67,1197.8,1306900000,1732400000,724038963.40952,455183889.730295,83815730.4035954,26253665.707957,17607750.7486322,191674834.783402,124419964.418879,17004535.3842814,2004467.37680251,3062340.01020212,338166141.973567,1668.28385358661,6447.36387719965,492.256232024193,1308.04118340626,1176.02762156242,360.242670180349
"85","E08000035",213300,113300,40600,46280,22526,436006,0.489213451191039,0.259858809282441,0.0931179846148906,0.106145328275299,0.0516644266363307,"Leeds",2948.67,1832.22,3.215e+09,4178400000,1572821245.57919,835446071.843048,299374320.536873,341257230.405086,166101131.635803,416372968.342179,228360829.277579,60737062.1505209,26054989.5414283,28888308.8140989,760414158.125806,1744.04516939172,7373.75173736141,562.985945147544,1495.98675247588,1181.05922424417,248.058416915835
"86","E08000036",92400,67200,9100,3563,2110,174373,0.529898550807751,0.385380764223819,0.0521869784886422,0.0204332092697837,0.0121004972100038,"Wakefield",1498,930.81,1414200000,1904400000,749382530.552322,545005476.765325,73802824.9786377,28896644.5493282,17112523.1543874,198384037.313116,148971797.019034,14973117.131666,2206258.81134121,2976210.02701106,367511420.302168,2107.61654787248,8110.20054710305,619.213811771318,1645.39748699627,1488.40273610116,462.219060876216
"88","E06000015",62800,42700,7200,3607,2838,119145,0.527088841327794,0.358386839565236,0.0604305677955432,0.030274035838684,0.0238197154727433,"Derby",783.83,487.05,1022100000,1213500000,538737504.721138,366307188.719627,61766083.3438248,30943092.0307189,24346131.1846909,142619979.624827,100126406.964623,12531102.9887952,2362505.07654539,4234279.13564145,261874273.790432,2197.94598002796,8578.62268664233,654.977842125142,1740.430970666,1542.96813790282,457.51500936197
"89","E06000016",84100,49800,14900,3442,5485,157727,0.533199769221503,0.315735416257204,0.0944670221331795,0.0218225161196244,0.0347752762684892,"Leicester",836.93,520.04,850200000,1022500000,453326443.792122,268438250.901875,80315862.2176292,18553503.2049047,29565939.8834695,120009109.465088,73374911.5015185,16294482.1267126,1416559.96969447,5142108.26453302,216237171.327547,1370.95849998762,5390.32632333082,411.551414786308,1093.58940447736,959.40708520131,277.369095510262
"90","E06000061",107200,75300,9600,6021,4392,202513,0.529348733167747,0.371827981413539,0.0474043641642759,0.0297314246492818,0.0216874966051562,"North Northamptonshire",1901.26,1181.39,1.744e+09,2314500000,923184190.644551,648467999.585212,82673211.1024971,51851604.5883474,37822994.0793924,244394550.789332,177252243.006622,16772741.0684746,3958870.01032033,6578175.13028793,448956580.005037,2216.92720963611,8611.79282317678,657.510382049548,1747.16052796611,1559.41682758656,469.76668167
"91","E06000018",55300,36800,7700,2262,1200,103262,0.53553097945033,0.356375045999496,0.0745676047335903,0.021905444403556,0.0116209254130271,"Nottingham",801.22,497.86,861100000,1069600000,461145726.404679,306874552.110166,64210164.4360946,18862778.1759021,10006778.8731576,122079108.151111,83881090.0737929,13026958.1607949,1440173.11373012,1740378.98161957,222167708.481048,2151.49530786783,8338.982394298,636.681305804652,1691.81274815518,1514.81400206318,459.682559712655
"92","E06000017",12700,8200,1200,590,475,23165,0.548240880638895,0.353982300884956,0.0518022879343838,0.0254694582344054,0.0205050723073602,"Rutland",559.84,347.87,320800000,440600000,175875674.508957,113557522.123894,16618173.9693503,8170602.20159724,6578027.19620117,46559567.3127563,31039813.0973451,3371495.13490179,623825.478091949,1144050.48996331,82738751.5130585,3571.71385767574,13848.4783077919,1057.33131879991,2809.57927908483,2514.38253887583,762.134578590913
