Local.Authority.Code,Petrol2024Q2,Diesel2024Q2,Hybrid2024Q2,BEV2024Q2,PHEV2024Q2,TotalCars,Petrol,Diesel,Hybrid,BEV,PHEV,Local.Authority,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles,PetrolMile,DieselMile,HybridMile,BEVMile,PHEVMile,PetrolCO2e,DieselCO2e,HybridCO2e,BEVCO2e,PHEVCO2e,BaseCO2e,pCarBaseCO2e,pCarAnnMile,pBEVAnnCO2e,pHyVAnnCO2e,reduceCO2pBEVcc,reduceCO2pHyVc
E10000024,239600,159000,20500,8676,4899,432675,0.553764373,0.367481366,0.047379673,0.020052002,0.011322586,Nottinghamshire,4494.42,2792.7,3.60E+09,4814100000,1993551742,1322932917,170566822.7,72187207.49,40761310.45,527752952.7,361610483.6,34604596.98,5511493.292,7089207.114,936568733.7,2164.600991,8320.332813,635.2574103,1688.029121,1529.34358,476.5718696
E06000019,59300,44300,4000,1963,1205,110768,0.535353171,0.399934999,0.036111512,0.017721725,0.010878593,"Herefordshire, County of",3344.82,2078.37,880100000,1221800000,471164325.4,351982792.9,31781742.02,15596889.9,9574249.783,124731331.9,96210976.6,6447879.821,1190822.544,1665153.522,230246164.4,2078.634302,7945.435505,606.6340008,1611.969955,1472.000301,466.6643468
E06000051,98600,74000,7100,3116,1955,184771,0.533633525,0.400495749,0.038425943,0.016864118,0.010580665,Shropshire,5182.43,3220.21,1562800000,2135300000,833962472.5,625894756.2,60052064.45,26355244.06,16535462.82,220774885.3,171082072.7,12183362.84,2012222.884,2875847.693,408928391.4,2213.163275,8458.037246,645.7711437,1715.966596,1567.392131,497.1966781
E06000021,64700,42200,6100,1682,820,115502,0.56016346,0.365361639,0.052812938,0.014562518,0.007099444,Stoke-on-Trent,884.54,549.63,683600000,852300000,382927741.5,249761216.3,36102924.62,9954937.577,4853180.032,101372461,68269730.85,7324561.348,760059.484,844065.0711,178570877.8,1546.041434,5918.512234,451.878409,1200.747762,1094.163025,345.2936725
E06000020,51700,37900,4500,1696,844,96640,0.534975166,0.392177152,0.04656457,0.017549669,0.008733444,Telford and Wrekin,1081.78,672.19,7.34E+08,937400000,392671771.5,287858029.8,34178394.04,12881456.95,6410347.682,103951998.1,78683113.87,6934112.583,983499.2384,1114887.669,191667611.4,1983.315516,7595.198675,579.8934189,1540.913907,1403.422097,442.4016084
E10000028,273400,173700,22400,8887,5460,483847,0.565054656,0.358997782,0.046295627,0.018367376,0.011284559,Staffordshire,6304.82,3917.63,4414800000,5976600000,2494603294,1584903410,204385931.9,81088293.61,49819070.9,660396330,433217498,41465817.87,6191091.217,8664532.812,1149935270,2376.650615,9124.371961,696.6457992,1851.152583,1680.004815,525.4980312
E10000031,197000,115700,15200,7506,4496,339902,0.57957882,0.340392231,0.044718772,0.022082836,0.013227342,Warwickshire,4330.69,2690.97,4.51E+09,6075700000,2613900477,1535168960,201681661.2,99593588.74,59655312.41,691977873.3,419623083.7,40917175.42,7603970.5,10375251.93,1170497355,3443.631855,13268.53034,1013.052292,2691.919436,2430.579564,751.7124196
E08000025,260900,127700,27100,6182,4005,425887,0.612603813,0.299844795,0.063631902,0.014515587,0.009403903,Birmingham,2577.6,1601.65,2949100000,3617600000,1806629904,884272283.5,187656843.2,42807919,27733050.08,478269134.5,241706986,38071820.36,3268384.616,4823332.07,766139657.5,1798.927081,6924.606762,528.6937263,1404.86422,1270.233354,394.0628607
E08000026,83100,52800,7200,2223,2215,147538,0.563244723,0.357873904,0.048800987,0.015067305,0.015013081,Coventry,895.38,556.36,982600000,1202800000,553444265.2,351646897.7,47951849.69,14805133.59,14751853.76,146513300.3,96119163.03,9728471.266,1130371.95,2565642.406,256056949,1735.532195,6659.979124,508.4894061,1351.176565,1227.042789,384.3556303
E08000027,98200,52300,7600,2311,1518,161929,0.606438624,0.32298106,0.04693415,0.014271687,0.009374479,Dudley,1042.39,647.71,836200000,1051900000,507103977.7,270076762,39246336.36,11933984.65,7838939.288,134245636,73822782.14,7962296.72,911159.7278,1363348.321,218305222.9,1348.153962,5163.991626,394.2707606,1047.670621,953.8832014,300.4833409
E08000028,78000,50800,6800,1587,1213,138400,0.563583815,0.367052023,0.049132948,0.011466763,0.008764451,Sandwell,853.51,530.35,1009400000,1333600000,568881502.9,370502312.1,49594797.69,11574550.58,8846836.705,150600000.3,101273102,10061792.55,883716.9366,1538641.84,264357253.6,1910.095763,7293.352601,556.8474711,1479.675376,1353.248292,430.4203872
